Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.490,0.370,0.110,0.538,0.271,0.103,0.139,8
M,0.500,0.390,0.135,0.781,0.361,0.158,0.238,9
F,0.500,0.380,0.140,0.635,0.277,0.143,0.178,8
M,0.505,0.385,0.130,0.643,0.314,0.149,0.151,7
M,0.525,0.385,0.100,0.511,0.246,0.101,0.145,8
M,0.535,0.420,0.125,0.738,0.355,0.190,0.179,8
F,0.535,0.420,0.130,0.699,0.312,0.157,0.203,8
F,0.540,0.385,0.140,0.765,0.327,0.116,0.236,10
F,0.540,0.420,0.130,0.750,0.368,0.168,0.184,9
F,0.545,0.430,0.160,0.844,0.395,0.185,0.231,9
M,0.550,0.410,0.130,0.871,0.446,0.211,0.213,9
I,0.550,0.420,0.115,0.668,0.292,0.137,0.209,11
F,0.565,0.440,0.135,0.830,0.393,0.173,0.238,9
M,0.580,0.450,0.120,0.869,0.418,0.147,0.261,8
F,0.580,0.435,0.150,0.839,0.348,0.207,0.192,7
F,0.585,0.485,0.150,1.079,0.414,0.211,0.356,11
M,0.595,0.465,0.150,0.919,0.433,0.176,0.262,9
F,0.600,0.470,0.190,1.135,0.492,0.260,0.338,10
F,0.610,0.430,0.140,0.909,0.438,0.200,0.220,8
M,0.610,0.480,0.165,1.244,0.557,0.268,0.372,8
F,0.620,0.490,0.160,1.056,0.493,0.244,0.273,9
M,0.645,0.495,0.150,1.210,0.603,0.223,0.339,9
M,0.650,0.500,0.140,1.238,0.617,0.235,0.320,8
F,0.665,0.525,0.210,1.644,0.818,0.340,0.427,10
M,0.685,0.550,0.200,1.772,0.813,0.387,0.490,11
F,0.690,0.540,0.195,1.252,0.730,0.398,0.462,12
F,0.705,0.570,0.185,1.761,0.747,0.372,0.488,10
F,0.710,0.500,0.150,1.317,0.683,0.281,0.280,10
M,0.720,0.585,0.220,1.914,0.915,0.448,0.479,11
F,0.720,0.575,0.215,2.100,0.857,0.482,0.602,12
F,0.730,0.555,0.180,1.690,0.655,0.197,0.493,10
M,0.775,0.570,0.220,2.032,0.735,0.475,0.658,17
F,0.505,0.390,0.115,0.660,0.304,0.155,0.175,8
M,0.530,0.425,0.130,0.746,0.299,0.136,0.245,10
F,0.505,0.385,0.115,0.616,0.243,0.107,0.210,11
I,0.405,0.305,0.090,0.282,0.114,0.058,0.095,7
M,0.415,0.300,0.100,0.336,0.154,0.069,0.095,7
M,0.500,0.390,0.145,0.651,0.273,0.132,0.220,11
M,0.425,0.330,0.080,0.361,0.134,0.083,0.125,7
M,0.470,0.350,0.100,0.477,0.189,0.088,0.175,8
F,0.400,0.310,0.115,0.346,0.147,0.070,0.115,10
I,0.370,0.290,0.100,0.250,0.102,0.051,0.085,10
M,0.500,0.380,0.155,0.660,0.266,0.137,0.215,19
I,0.410,0.310,0.110,0.315,0.124,0.082,0.095,9
M,0.375,0.290,0.100,0.276,0.117,0.057,0.085,9
F,0.490,0.385,0.125,0.539,0.217,0.128,0.165,11
M,0.585,0.480,0.185,1.040,0.434,0.265,0.285,10
M,0.595,0.455,0.155,1.041,0.416,0.210,0.365,14
F,0.675,0.550,0.180,1.688,0.562,0.370,0.600,15
M,0.665,0.535,0.225,2.183,0.753,0.391,0.885,27
M,0.620,0.490,0.170,1.210,0.518,0.256,0.335,13
I,0.325,0.250,0.055,0.166,0.076,0.051,0.045,5
I,0.455,0.355,0.080,0.452,0.216,0.100,0.125,9
M,0.525,0.405,0.130,0.719,0.327,0.198,0.175,8
I,0.385,0.290,0.090,0.232,0.086,0.050,0.080,7
I,0.130,0.095,0.035,0.011,0.005,0.006,0.004,4
I,0.180,0.130,0.045,0.028,0.013,0.010,0.009,3
I,0.310,0.225,0.050,0.144,0.068,0.038,0.045,6
F,0.375,0.290,0.080,0.282,0.141,0.072,0.080,7
F,0.480,0.380,0.120,0.608,0.271,0.141,0.185,8
I,0.455,0.370,0.125,0.433,0.201,0.127,0.145,9
M,0.425,0.325,0.100,0.330,0.137,0.072,0.110,7
I,0.475,0.360,0.110,0.456,0.177,0.097,0.145,9
F,0.435,0.350,0.120,0.459,0.192,0.100,0.130,11
F,0.290,0.210,0.075,0.275,0.113,0.068,0.035,6
M,0.385,0.295,0.095,0.335,0.147,0.094,0.090,7
M,0.470,0.375,0.115,0.426,0.169,0.075,0.150,8
F,0.500,0.400,0.125,0.577,0.239,0.126,0.185,10
I,0.400,0.310,0.100,0.127,0.106,0.071,0.085,7
M,0.620,0.510,0.175,1.151,0.438,0.227,0.400,12
M,0.595,0.470,0.150,0.891,0.359,0.210,0.245,12
M,0.585,0.455,0.140,0.970,0.462,0.185,0.295,9
M,0.320,0.240,0.080,0.180,0.080,0.038,0.055,6
F,0.520,0.410,0.125,0.699,0.294,0.163,0.215,10
M,0.440,0.350,0.110,0.459,0.200,0.088,0.130,9
F,0.440,0.330,0.115,0.401,0.143,0.113,0.120,8
M,0.565,0.425,0.100,0.715,0.305,0.166,0.180,12
F,0.560,0.425,0.125,0.932,0.361,0.213,0.335,9
F,0.590,0.455,0.175,0.966,0.391,0.245,0.310,10
F,0.570,0.465,0.180,1.000,0.405,0.277,0.295,16
M,0.680,0.530,0.205,1.496,0.583,0.337,0.465,14
F,0.450,0.360,0.125,0.506,0.222,0.105,0.160,10
I,0.320,0.240,0.075,0.173,0.076,0.035,0.050,7
I,0.460,0.350,0.110,0.395,0.169,0.086,0.125,9
M,0.470,0.370,0.105,0.467,0.203,0.102,0.155,10
M,0.455,0.350,0.105,0.401,0.158,0.083,0.135,9
F,0.415,0.325,0.115,0.345,0.141,0.076,0.110,9
M,0.465,0.350,0.120,0.520,0.202,0.163,0.185,11
M,0.460,0.375,0.135,0.493,0.186,0.085,0.170,12
M,0.415,0.310,0.090,0.325,0.131,0.073,0.115,8
M,0.270,0.195,0.070,0.106,0.046,0.018,0.036,7
M,0.445,0.355,0.110,0.442,0.180,0.103,0.150,10
F,0.745,0.585,0.190,1.966,0.844,0.437,0.586,18
F,0.400,0.300,0.115,0.302,0.134,0.046,0.093,8
I,0.280,0.200,0.075,0.122,0.054,0.011,0.035,5
M,0.550,0.440,0.135,0.879,0.368,0.209,0.265,10
M,0.580,0.460,0.165,1.228,0.473,0.197,0.435,16
M,0.610,0.500,0.165,1.272,0.491,0.185,0.490,12
M,0.620,0.495,0.175,1.806,0.643,0.329,0.725,17
M,0.560,0.420,0.195,0.808,0.302,0.179,0.285,14
F,0.640,0.510,0.200,1.391,0.610,0.332,0.410,12
M,0.690,0.550,0.200,1.847,0.732,0.472,0.570,19
F,0.715,0.565,0.240,2.200,0.725,0.465,0.885,17
F,0.710,0.565,0.195,1.817,0.785,0.492,0.490,11
F,0.550,0.470,0.150,0.897,0.377,0.184,0.290,9
M,0.375,0.305,0.090,0.325,0.140,0.057,0.095,5
F,0.610,0.450,0.160,1.136,0.414,0.311,0.300,9
I,0.380,0.280,0.085,0.274,0.115,0.061,0.085,6
F,0.370,0.275,0.085,0.240,0.104,0.053,0.070,5
M,0.335,0.235,0.085,0.154,0.066,0.035,0.045,6
I,0.165,0.115,0.015,0.015,0.005,0.003,0.005,4
M,0.285,0.210,0.075,0.118,0.055,0.029,0.040,7
I,0.190,0.130,0.030,0.029,0.015,0.015,0.010,6
I,0.215,0.150,0.030,0.038,0.011,0.005,0.010,5
M,0.595,0.465,0.125,0.799,0.325,0.200,0.230,10
F,0.645,0.500,0.170,1.185,0.480,0.274,0.355,13
M,0.575,0.450,0.185,0.925,0.342,0.197,0.350,12
F,0.570,0.450,0.170,1.098,0.414,0.187,0.405,20
F,0.580,0.450,0.235,1.071,0.300,0.206,0.395,14
F,0.595,0.480,0.200,0.975,0.358,0.203,0.340,15
F,0.595,0.470,0.250,1.283,0.462,0.247,0.445,14
F,0.625,0.420,0.165,1.060,0.358,0.165,0.445,21
M,0.535,0.420,0.165,0.919,0.336,0.199,0.260,16
M,0.550,0.430,0.160,0.929,0.317,0.173,0.355,13
M,0.495,0.400,0.155,0.808,0.234,0.116,0.350,6
I,0.320,0.235,0.080,0.148,0.064,0.031,0.045,6
M,0.445,0.340,0.120,0.448,0.193,0.103,0.130,9
F,0.520,0.400,0.125,0.686,0.295,0.172,0.185,9
M,0.495,0.385,0.135,0.633,0.200,0.122,0.260,14
M,0.470,0.370,0.135,0.547,0.222,0.133,0.170,12
F,0.490,0.370,0.140,0.585,0.243,0.115,0.195,10
M,0.580,0.470,0.165,0.927,0.322,0.199,0.315,11
M,0.645,0.495,0.185,1.494,0.526,0.279,0.455,15
F,0.575,0.485,0.165,1.040,0.419,0.264,0.300,14
I,0.215,0.170,0.055,0.060,0.021,0.014,0.020,6
I,0.430,0.325,0.110,0.367,0.136,0.093,0.120,13
I,0.260,0.215,0.080,0.099,0.037,0.025,0.045,5
I,0.370,0.280,0.090,0.233,0.090,0.054,0.070,11
I,0.405,0.305,0.105,0.362,0.157,0.070,0.125,10
I,0.270,0.190,0.080,0.081,0.026,0.019,0.030,6
F,0.680,0.550,0.200,1.596,0.525,0.407,0.585,21
F,0.650,0.515,0.195,1.401,0.519,0.360,0.440,13
F,0.645,0.490,0.215,1.406,0.426,0.229,0.510,25
M,0.570,0.405,0.160,0.924,0.344,0.218,0.295,19
M,0.615,0.480,0.190,1.360,0.530,0.237,0.470,18
M,0.420,0.345,0.105,0.430,0.175,0.096,0.130,7
I,0.275,0.220,0.080,0.137,0.057,0.029,0.042,6
F,0.290,0.225,0.075,0.140,0.051,0.024,0.040,5
M,0.420,0.340,0.115,0.421,0.175,0.093,0.135,8
F,0.625,0.525,0.215,1.577,0.511,0.260,0.665,16
F,0.550,0.465,0.180,1.212,0.325,0.205,0.525,27
M,0.660,0.505,0.200,1.631,0.486,0.297,0.610,18
M,0.565,0.470,0.195,1.142,0.387,0.258,0.350,17
F,0.595,0.495,0.235,1.366,0.506,0.219,0.520,13
M,0.630,0.510,0.230,1.539,0.564,0.281,0.570,17
F,0.430,0.325,0.120,0.445,0.165,0.100,0.155,8
F,0.455,0.350,0.140,0.573,0.197,0.133,0.175,10
I,0.330,0.260,0.080,0.190,0.076,0.038,0.065,7
F,0.515,0.415,0.130,0.764,0.276,0.196,0.250,13
M,0.495,0.390,0.150,0.853,0.329,0.189,0.270,14
F,0.485,0.375,0.145,0.589,0.238,0.116,0.190,13
F,0.535,0.460,0.145,0.787,0.340,0.201,0.200,8
M,0.580,0.465,0.175,1.035,0.401,0.186,0.385,17
F,0.625,0.525,0.195,1.352,0.451,0.244,0.530,13
F,0.555,0.455,0.180,0.958,0.296,0.195,0.390,14
F,0.550,0.425,0.145,0.797,0.297,0.150,0.265,9
M,0.590,0.475,0.155,0.857,0.356,0.174,0.280,13
I,0.355,0.280,0.110,0.224,0.082,0.052,0.080,7
I,0.275,0.200,0.075,0.086,0.030,0.019,0.030,7
F,0.505,0.390,0.175,0.692,0.267,0.150,0.215,12
M,0.370,0.280,0.095,0.223,0.081,0.051,0.075,7
M,0.555,0.430,0.165,0.757,0.274,0.164,0.275,13
F,0.505,0.400,0.165,0.729,0.268,0.155,0.250,9
F,0.560,0.445,0.180,0.903,0.357,0.204,0.295,9
M,0.595,0.475,0.170,1.097,0.419,0.229,0.350,17
F,0.570,0.450,0.165,0.903,0.331,0.184,0.295,14
M,0.600,0.480,0.175,1.229,0.412,0.274,0.415,13
F,0.560,0.435,0.185,1.106,0.422,0.243,0.330,15
M,0.585,0.465,0.190,1.171,0.391,0.235,0.400,17
I,0.460,0.335,0.110,0.444,0.225,0.074,0.110,8
F,0.460,0.360,0.115,0.475,0.210,0.105,0.160,8
M,0.415,0.315,0.125,0.388,0.068,0.090,0.125,12
F,0.435,0.320,0.120,0.379,0.152,0.091,0.125,11
F,0.475,0.380,0.135,0.486,0.173,0.070,0.185,7
M,0.465,0.360,0.130,0.526,0.210,0.118,0.165,10
I,0.355,0.280,0.100,0.228,0.093,0.045,0.085,11
M,0.460,0.375,0.140,0.510,0.192,0.104,0.205,9
F,0.380,0.325,0.110,0.310,0.120,0.074,0.105,10
F,0.470,0.365,0.120,0.543,0.230,0.149,0.150,9
M,0.360,0.270,0.090,0.223,0.083,0.053,0.075,6
F,0.585,0.455,0.165,0.998,0.345,0.249,0.315,12
M,0.655,0.590,0.200,1.546,0.654,0.377,0.415,11
M,0.600,0.485,0.175,1.268,0.499,0.281,0.380,13
F,0.570,0.460,0.170,1.100,0.412,0.221,0.380,14
F,0.645,0.500,0.200,1.429,0.639,0.305,0.360,11
M,0.650,0.495,0.180,1.793,0.800,0.339,0.530,14
M,0.510,0.395,0.145,0.619,0.216,0.139,0.240,12
M,0.520,0.380,0.135,0.583,0.251,0.157,0.175,8
M,0.495,0.415,0.165,0.749,0.264,0.134,0.285,13
M,0.430,0.335,0.115,0.406,0.166,0.093,0.135,8
F,0.590,0.465,0.160,1.101,0.506,0.253,0.295,13
M,0.550,0.460,0.175,0.869,0.316,0.182,0.320,10
M,0.585,0.430,0.160,0.955,0.362,0.176,0.270,11
F,0.580,0.455,0.160,0.921,0.312,0.196,0.300,17
F,0.620,0.510,0.150,1.456,0.581,0.287,0.320,13
I,0.590,0.450,0.160,0.893,0.275,0.218,0.345,14
F,0.720,0.575,0.215,2.226,0.895,0.405,0.620,13
F,0.635,0.510,0.175,1.212,0.574,0.261,0.360,14
F,0.610,0.480,0.175,1.067,0.391,0.216,0.420,15
F,0.545,0.445,0.175,0.853,0.346,0.189,0.295,13
M,0.570,0.450,0.160,0.862,0.372,0.217,0.255,12
F,0.600,0.475,0.180,1.162,0.511,0.268,0.320,18
F,0.520,0.410,0.170,0.871,0.373,0.219,0.250,14
M,0.635,0.510,0.210,1.598,0.653,0.283,0.580,15
F,0.670,0.520,0.150,1.406,0.519,0.348,0.370,13
M,0.695,0.570,0.200,2.033,0.751,0.425,0.685,15
M,0.655,0.525,0.185,1.259,0.487,0.222,0.445,20
F,0.620,0.480,0.230,1.093,0.403,0.245,0.355,14
F,0.600,0.475,0.180,1.181,0.434,0.247,0.425,19
M,0.510,0.405,0.130,0.718,0.372,0.158,0.170,9
M,0.525,0.405,0.135,0.757,0.331,0.216,0.195,10
M,0.440,0.375,0.130,0.487,0.226,0.097,0.155,9
I,0.485,0.415,0.140,0.571,0.250,0.134,0.185,8
F,0.495,0.385,0.130,0.691,0.312,0.179,0.175,10
I,0.435,0.345,0.120,0.448,0.221,0.112,0.125,7
I,0.405,0.315,0.105,0.347,0.161,0.079,0.100,9
I,0.420,0.330,0.100,0.352,0.164,0.089,0.100,9
F,0.500,0.395,0.150,0.715,0.324,0.173,0.195,9
F,0.385,0.305,0.105,0.332,0.137,0.074,0.100,7
I,0.330,0.265,0.090,0.180,0.068,0.036,0.060,6
F,0.580,0.475,0.155,0.974,0.430,0.230,0.285,10
I,0.325,0.270,0.100,0.185,0.080,0.043,0.065,6
M,0.475,0.375,0.120,0.563,0.253,0.120,0.185,10
F,0.380,0.300,0.090,0.322,0.154,0.075,0.095,9
I,0.340,0.260,0.090,0.179,0.076,0.052,0.055,6
M,0.525,0.425,0.120,0.702,0.334,0.146,0.220,12
F,0.520,0.415,0.145,0.804,0.333,0.172,0.285,10
F,0.535,0.450,0.135,0.807,0.322,0.181,0.250,13
M,0.475,0.360,0.120,0.578,0.282,0.120,0.170,8
I,0.415,0.325,0.100,0.385,0.167,0.080,0.125,7
I,0.495,0.385,0.125,0.585,0.276,0.123,0.165,8
F,0.480,0.405,0.130,0.637,0.277,0.144,0.210,10
F,0.520,0.425,0.150,0.813,0.385,0.202,0.230,10
M,0.460,0.375,0.130,0.574,0.251,0.119,0.195,9
F,0.580,0.455,0.120,0.940,0.399,0.257,0.265,11
M,0.590,0.490,0.135,1.008,0.422,0.225,0.285,11
F,0.550,0.415,0.135,0.775,0.302,0.179,0.260,23
F,0.650,0.500,0.165,1.145,0.485,0.218,0.365,12
F,0.465,0.375,0.135,0.600,0.223,0.129,0.230,16
M,0.455,0.355,0.130,0.515,0.200,0.128,0.175,11
M,0.470,0.375,0.130,0.580,0.214,0.164,0.195,13
F,0.435,0.350,0.110,0.384,0.143,0.101,0.125,13
M,0.350,0.265,0.110,0.296,0.137,0.063,0.085,7
I,0.315,0.240,0.070,0.137,0.054,0.032,0.040,8
M,0.595,0.470,0.145,0.991,0.404,0.150,0.340,16
F,0.580,0.475,0.135,0.925,0.391,0.165,0.275,14
M,0.575,0.435,0.150,0.805,0.293,0.163,0.270,17
M,0.535,0.435,0.155,0.891,0.342,0.177,0.250,13
M,0.515,0.420,0.140,0.769,0.251,0.154,0.290,13
F,0.505,0.385,0.135,0.619,0.251,0.117,0.200,12
F,0.505,0.395,0.145,0.651,0.270,0.153,0.205,15
I,0.400,0.310,0.100,0.287,0.115,0.064,0.095,10
M,0.490,0.395,0.135,0.554,0.213,0.092,0.215,14
M,0.530,0.435,0.135,0.737,0.328,0.132,0.220,12
I,0.395,0.325,0.105,0.306,0.111,0.073,0.095,8
F,0.665,0.535,0.190,1.496,0.578,0.281,0.475,17
F,0.415,0.305,0.105,0.360,0.120,0.082,0.100,10
M,0.430,0.345,0.115,0.304,0.092,0.055,0.120,11
M,0.475,0.395,0.135,0.592,0.246,0.165,0.200,13
F,0.525,0.425,0.145,0.799,0.335,0.209,0.240,15
I,0.480,0.390,0.145,0.583,0.232,0.121,0.255,15
I,0.420,0.345,0.115,0.344,0.151,0.080,0.115,9
M,0.590,0.460,0.155,0.906,0.327,0.148,0.335,15
F,0.515,0.420,0.135,0.629,0.281,0.127,0.215,9
M,0.695,0.550,0.220,1.552,0.566,0.384,0.445,13
F,0.800,0.630,0.195,2.526,0.933,0.590,0.620,23
M,0.610,0.490,0.150,1.103,0.425,0.203,0.360,23
F,0.565,0.480,0.175,0.957,0.389,0.215,0.275,18
M,0.560,0.455,0.165,0.860,0.402,0.170,0.245,11
M,0.655,0.485,0.195,1.620,0.627,0.358,0.485,17
M,0.640,0.520,0.200,1.407,0.566,0.304,0.455,17
F,0.590,0.470,0.170,0.900,0.355,0.191,0.250,11
I,0.310,0.240,0.090,0.145,0.060,0.032,0.045,7
I,0.255,0.185,0.070,0.075,0.028,0.018,0.025,6
I,0.170,0.125,0.055,0.024,0.009,0.005,0.008,6
M,0.670,0.550,0.170,1.247,0.472,0.245,0.400,21
F,0.710,0.565,0.195,1.726,0.638,0.337,0.565,17
F,0.560,0.430,0.125,0.802,0.313,0.172,0.263,13
M,0.505,0.400,0.130,0.764,0.303,0.189,0.217,11
M,0.525,0.430,0.165,0.865,0.376,0.195,0.252,16
F,0.450,0.360,0.105,0.471,0.203,0.093,0.149,9
F,0.515,0.435,0.170,0.631,0.277,0.111,0.216,12
M,0.590,0.475,0.160,0.946,0.382,0.184,0.270,19
M,0.700,0.530,0.190,1.319,0.548,0.233,0.420,18
F,0.720,0.560,0.175,1.726,0.637,0.342,0.525,17
M,0.635,0.495,0.150,1.081,0.482,0.242,0.310,11
M,0.555,0.440,0.135,0.902,0.381,0.210,0.280,13
M,0.575,0.470,0.150,1.141,0.452,0.204,0.400,13
M,0.585,0.455,0.125,1.027,0.391,0.212,0.250,17
F,0.610,0.485,0.210,1.345,0.535,0.221,0.515,20
F,0.645,0.525,0.200,1.449,0.601,0.257,0.505,13
F,0.545,0.440,0.175,0.774,0.298,0.188,0.265,11
M,0.550,0.450,0.155,0.789,0.343,0.159,0.250,12
F,0.660,0.525,0.205,1.367,0.500,0.291,0.410,18
M,0.570,0.475,0.195,1.030,0.464,0.191,0.305,18
F,0.600,0.470,0.200,1.031,0.392,0.203,0.290,15
F,0.630,0.505,0.165,1.065,0.460,0.216,0.315,12
M,0.695,0.570,0.230,1.885,0.867,0.435,0.500,19
M,0.650,0.545,0.160,1.242,0.487,0.296,0.480,15
F,0.720,0.595,0.225,1.969,0.804,0.423,0.660,16
I,0.560,0.440,0.170,0.945,0.354,0.217,0.300,12
I,0.420,0.325,0.115,0.354,0.163,0.064,0.105,8
M,0.180,0.125,0.050,0.023,0.009,0.005,0.010,3
F,0.405,0.325,0.110,0.357,0.145,0.072,0.110,12
F,0.500,0.405,0.150,0.597,0.253,0.126,0.185,12
I,0.435,0.335,0.110,0.383,0.155,0.068,0.135,12
M,0.340,0.275,0.090,0.206,0.072,0.043,0.070,10
F,0.430,0.340,0.110,0.382,0.154,0.096,0.109,8
I,0.535,0.410,0.155,0.631,0.275,0.141,0.181,12
I,0.415,0.325,0.115,0.329,0.141,0.051,0.106,12
F,0.360,0.265,0.090,0.216,0.096,0.037,0.073,10
M,0.175,0.135,0.040,0.030,0.011,0.007,0.010,5
M,0.155,0.115,0.025,0.024,0.009,0.005,0.007,5
I,0.525,0.430,0.150,0.737,0.323,0.161,0.215,11
F,0.525,0.390,0.135,0.601,0.227,0.131,0.210,16
F,0.440,0.345,0.105,0.428,0.165,0.083,0.132,11
F,0.450,0.345,0.115,0.496,0.191,0.117,0.140,12
F,0.485,0.365,0.140,0.620,0.260,0.144,0.177,14
I,0.470,0.350,0.135,0.567,0.232,0.146,0.152,11
I,0.515,0.375,0.140,0.650,0.249,0.141,0.222,10
M,0.420,0.340,0.125,0.450,0.165,0.113,0.144,11
F,0.455,0.350,0.125,0.449,0.159,0.102,0.134,16
M,0.370,0.290,0.090,0.241,0.110,0.045,0.069,10
M,0.330,0.250,0.090,0.197,0.085,0.041,0.060,10
I,0.300,0.220,0.090,0.142,0.057,0.034,0.043,7
I,0.625,0.460,0.160,1.240,0.550,0.273,0.380,14
I,0.610,0.475,0.170,1.038,0.444,0.241,0.320,14
I,0.625,0.465,0.155,0.972,0.404,0.184,0.350,14
I,0.635,0.505,0.190,1.331,0.581,0.252,0.435,17
I,0.500,0.385,0.155,0.762,0.380,0.161,0.190,14
F,0.530,0.430,0.170,0.775,0.350,0.152,0.235,17
I,0.445,0.330,0.100,0.437,0.163,0.075,0.170,13
F,0.585,0.415,0.155,0.699,0.300,0.146,0.195,12
I,0.440,0.355,0.165,0.435,0.159,0.105,0.140,16
M,0.290,0.225,0.080,0.130,0.053,0.026,0.045,10
I,0.555,0.455,0.170,0.844,0.309,0.191,0.300,15
I,0.655,0.515,0.145,1.250,0.526,0.283,0.315,15
F,0.580,0.460,0.185,1.017,0.351,0.200,0.320,10
I,0.625,0.430,0.175,1.411,0.572,0.297,0.395,12
I,0.620,0.485,0.170,1.208,0.480,0.304,0.330,15
F,0.640,0.500,0.150,1.071,0.371,0.271,0.360,8
F,0.505,0.375,0.115,0.590,0.264,0.120,0.167,10
I,0.500,0.395,0.120,0.537,0.216,0.108,0.178,9
M,0.310,0.245,0.095,0.150,0.052,0.034,0.048,7
F,0.505,0.380,0.145,0.651,0.293,0.190,0.170,12
I,0.420,0.305,0.110,0.280,0.094,0.079,0.096,9
M,0.400,0.315,0.105,0.287,0.114,0.037,0.113,10
M,0.425,0.315,0.125,0.352,0.114,0.057,0.130,18
M,0.310,0.235,0.060,0.120,0.042,0.033,0.040,11
F,0.465,0.350,0.130,0.494,0.195,0.103,0.155,18
F,0.465,0.360,0.120,0.476,0.192,0.113,0.160,10
M,0.350,0.255,0.085,0.214,0.100,0.046,0.060,13
I,0.520,0.415,0.160,0.595,0.210,0.142,0.260,15
F,0.475,0.365,0.130,0.480,0.191,0.114,0.147,12
F,0.410,0.315,0.110,0.321,0.126,0.066,0.095,10
M,0.260,0.200,0.065,0.096,0.044,0.027,0.030,6
I,0.575,0.450,0.170,0.931,0.358,0.214,0.260,13
I,0.565,0.435,0.155,0.782,0.272,0.168,0.285,14
M,0.260,0.190,0.075,0.095,0.044,0.020,0.030,6
F,0.530,0.385,0.125,0.669,0.289,0.151,0.180,10
M,0.340,0.255,0.095,0.213,0.081,0.034,0.070,9
I,0.520,0.380,0.140,0.525,0.177,0.115,0.185,11
F,0.635,0.500,0.180,1.312,0.529,0.248,0.485,18
F,0.610,0.485,0.165,1.087,0.425,0.232,0.380,11
F,0.660,0.515,0.180,1.523,0.540,0.337,0.555,16
I,0.635,0.500,0.180,1.319,0.548,0.292,0.490,16
F,0.465,0.380,0.135,0.579,0.208,0.110,0.220,14
M,0.515,0.400,0.160,0.818,0.252,0.156,0.300,23
I,0.335,0.240,0.095,0.170,0.062,0.039,0.055,9
F,0.515,0.400,0.170,0.796,0.258,0.175,0.280,16
F,0.345,0.255,0.100,0.197,0.071,0.051,0.060,9
M,0.465,0.355,0.125,0.525,0.203,0.135,0.145,13
M,0.540,0.415,0.170,0.879,0.339,0.208,0.255,10
M,0.475,0.355,0.125,0.463,0.186,0.107,0.145,9
F,0.445,0.335,0.140,0.457,0.178,0.114,0.140,11
M,0.500,0.355,0.140,0.528,0.212,0.149,0.140,9
M,0.500,0.380,0.135,0.584,0.230,0.127,0.180,12
F,0.550,0.435,0.170,0.884,0.287,0.165,0.280,14
I,0.275,0.205,0.080,0.096,0.036,0.018,0.030,6
F,0.350,0.265,0.090,0.185,0.074,0.042,0.060,7
F,0.370,0.285,0.105,0.270,0.113,0.059,0.084,9
F,0.420,0.330,0.125,0.463,0.186,0.110,0.145,10
M,0.350,0.260,0.090,0.198,0.072,0.056,0.060,10
M,0.395,0.305,0.105,0.282,0.098,0.065,0.096,9
I,0.325,0.200,0.080,0.100,0.040,0.022,0.032,8
I,0.275,0.200,0.065,0.092,0.038,0.024,0.027,5
I,0.235,0.170,0.065,0.062,0.023,0.014,0.022,6
I,0.250,0.180,0.060,0.073,0.028,0.017,0.022,5
I,0.250,0.185,0.065,0.071,0.027,0.018,0.022,5
I,0.200,0.145,0.050,0.036,0.013,0.008,0.011,4
F,0.585,0.470,0.170,1.099,0.398,0.233,0.358,20
M,0.445,0.350,0.140,0.591,0.203,0.158,0.190,14
F,0.500,0.385,0.130,0.768,0.263,0.095,0.270,13
M,0.440,0.325,0.080,0.413,0.144,0.102,0.130,8
M,0.515,0.405,0.140,0.851,0.312,0.146,0.315,17
F,0.520,0.405,0.140,0.692,0.276,0.137,0.215,11
M,0.500,0.390,0.130,0.709,0.275,0.168,0.180,11
M,0.425,0.325,0.120,0.376,0.142,0.106,0.105,9
M,0.510,0.415,0.140,0.819,0.302,0.215,0.235,16
F,0.370,0.275,0.080,0.227,0.093,0.062,0.070,8
M,0.540,0.415,0.130,0.825,0.272,0.226,0.240,13
M,0.615,0.475,0.170,1.183,0.474,0.289,0.240,11
M,0.565,0.440,0.175,1.122,0.393,0.200,0.375,20
M,0.645,0.515,0.175,1.611,0.674,0.384,0.385,14
F,0.615,0.470,0.175,1.298,0.513,0.343,0.320,14
M,0.605,0.490,0.145,1.300,0.517,0.329,0.310,14
F,0.590,0.455,0.165,1.161,0.380,0.245,0.280,12
M,0.645,0.485,0.155,1.489,0.592,0.312,0.380,18
M,0.570,0.420,0.155,1.008,0.377,0.193,0.340,13
F,0.470,0.355,0.180,0.441,0.152,0.117,0.135,8
F,0.500,0.440,0.155,0.742,0.203,0.201,0.211,14
F,0.520,0.425,0.145,0.700,0.207,0.191,0.240,13
M,0.390,0.285,0.095,0.271,0.110,0.060,0.080,8
M,0.520,0.400,0.165,0.857,0.275,0.201,0.210,12
F,0.540,0.415,0.175,0.897,0.275,0.241,0.275,14
M,0.460,0.360,0.135,0.611,0.196,0.107,0.235,14
I,0.355,0.260,0.090,0.193,0.077,0.038,0.065,8
F,0.490,0.400,0.145,0.663,0.210,0.130,0.252,13
F,0.630,0.510,0.185,1.235,0.511,0.349,0.306,11
M,0.500,0.385,0.145,0.761,0.246,0.195,0.204,14
M,0.490,0.390,0.135,0.592,0.242,0.096,0.183,15
M,0.440,0.325,0.115,0.390,0.163,0.087,0.113,7
F,0.515,0.395,0.165,0.756,0.191,0.170,0.321,10
F,0.475,0.380,0.145,0.570,0.167,0.118,0.187,11
I,0.420,0.310,0.100,0.286,0.115,0.073,0.085,8
M,0.400,0.305,0.130,0.293,0.096,0.068,0.105,9
